Date,Revenue,DAU,ARPDAU
"
",,0,
2017-01-01,0,65,0
2017-01-02,0,82,0
2017-01-03,0,110,0
2017-01-04,0,156,0
2017-01-05,5.98,215,0.027813953488372095
2017-01-06,0,247,0
2017-01-07,0.99,334,0.002964071856287425
2017-01-08,0,399,0
2017-01-09,5.98,348,0.01718390804597701
2017-01-10,0,401,0
2017-01-11,0,423,0
2017-01-12,6.970000000000001,459,0.015185185185185187
2017-01-13,60.96000000000001,511,0.11929549902152643
2017-01-14,15.96,549,0.029071038251366123
2017-01-15,0.99,565,0.001752212389380531
2017-01-16,5.98,505,0.011841584158415842
2017-01-17,10.98,549,0.02
2017-01-18,0,528,0
2017-01-19,15.97,571,0.02796847635726795
2017-01-20,4.970000000000001,624,0.00796474358974359
2017-01-21,7.960000000000001,674,0.011810089020771514
2017-01-22,0,689,0
2017-01-23,0.99,573,0.0017277486910994763
2017-01-24,6.970000000000001,605,0.011520661157024794
2017-01-25,13.950000000000001,623,0.0223916532905297
2017-01-26,23.940000000000005,631,0.037939778129952466
2017-01-27,1.98,685,0.0028905109489051097
2017-01-28,22.959999999999994,755,0.030410596026490058
2017-01-29,23.899999999999995,722,0.03310249307479224
2017-01-30,2.9699999999999998,652,0.00455521472392638
2017-01-31,1.98,665,0.0029774436090225565
2017-02-01,0.99,663,0.001493212669683258
2017-02-02,4.99,692,0.007210982658959538
2017-02-03,20.93,712,0.029396067415730337
2017-02-04,8.97,769,0.011664499349804942
2017-02-05,5.98,794,0.007531486146095718
2017-02-06,3.9800000000000004,651,0.006113671274961598
2017-02-07,7.960000000000001,714,0.011148459383753502
2017-02-08,0.99,730,0.0013561643835616438
2017-02-09,10.950000000000001,788,0.013895939086294417
2017-02-10,28.93999999999999,801,0.0361298377028714
2017-02-11,27.95,867,0.03223760092272203
2017-02-12,6.970000000000001,850,0.0082
2017-02-13,0.99,743,0.001332436069986541
2017-02-14,12.96,774,0.01674418604651163
2017-02-15,3.9800000000000004,749,0.005313751668891856
2017-02-16,25.95,774,0.03352713178294574
2017-02-17,14.98,853,0.017561547479484175
2017-02-18,11.96,878,0.013621867881548975
2017-02-19,23.97,869,0.027583429228998847
2017-02-20,12.97,888,0.014605855855855856
2017-02-21,10.97,937,0.011707577374599787
2017-02-22,2.99,971,0.003079299691040165
2017-02-23,0,1098,0
2017-02-24,5.98,1156,0.0051730103806228375
2017-02-25,4.99,1382,0.0036107091172214185
2017-02-26,11.940000000000001,1343,0.008890543559195831
2017-02-27,25.93,1299,0.019961508852963817
2017-02-28,11.920000000000002,1337,0.008915482423335827
2017-03-01,8.97,1368,0.006557017543859649
2017-03-02,22.939999999999998,1463,0.015680109364319888
2017-03-03,4.970000000000001,1525,0.0032590163934426235
2017-03-04,21.93,1759,0.012467310972143262
2017-03-05,106.9,1752,0.06101598173515982
2017-03-06,6.970000000000001,1497,0.004655978623914496
2017-03-07,14.930000000000001,1547,0.009650937297996123
2017-03-08,28.959999999999997,1424,0.02033707865168539
2017-03-09,25.92,1546,0.016765847347994828
2017-03-10,10.950000000000001,1542,0.007101167315175098
2017-03-11,142.87000000000003,1737,0.08225100748416812
2017-03-12,11.940000000000001,1656,0.007210144927536233
2017-03-13,2.9699999999999998,1428,0.002079831932773109
2017-03-14,78.87,1486,0.053075370121130554
2017-03-15,6.950000000000001,1493,0.004655056932350972
2017-03-16,44.940000000000005,1473,0.030509164969450105
2017-03-17,13.950000000000001,1522,0.00916557161629435
2017-03-18,70.88,1594,0.044466750313676286
2017-03-19,48.89,1495,0.032702341137123746
2017-03-20,12.97,1230,0.010544715447154473
2017-03-21,12.950000000000001,1277,0.010140955364134691
2017-03-22,37.92,1178,0.032190152801358236
2017-03-23,28.96,1156,0.02505190311418685
2017-03-24,21.969999999999995,1098,0.020009107468123857
2017-03-25,1.98,1105,0.0017918552036199095
2017-03-26,4.970000000000001,1043,0.00476510067114094
2017-03-27,9.99,874,0.011430205949656751
2017-03-28,7.98,847,0.009421487603305785
2017-03-29,3.9800000000000004,831,0.004789410348977136
2017-03-30,3.9800000000000004,802,0.004962593516209477
2017-03-31,13.940000000000001,832,0.016754807692307694
2017-04-01,10.97,857,0.01280046674445741
2017-04-02,54.93,816,0.06731617647058824
2017-04-03,0,686,0
2017-04-04,0.99,686,0.0014431486880466472
2017-04-05,6.970000000000001,702,0.00992877492877493
2017-04-06,25.93,752,0.034481382978723406
2017-04-07,14.98,757,0.019788639365918098
2017-04-08,124.90999999999997,771,0.16201037613488972
2017-04-09,3.9800000000000004,801,0.004968789013732835
2017-04-10,9.96,692,0.01439306358381503
2017-04-11,9.98,689,0.014484760522496372
2017-04-12,0,703,0
2017-04-13,25.97,683,0.03802342606149341
2017-04-14,119.97999999999999,681,0.1761820851688693
2017-04-15,0.99,772,0.0012823834196891192
2017-04-16,6.970000000000001,720,0.009680555555555557
2017-04-17,9.99,616,0.016217532467532467
2017-04-18,0,596,0
2017-04-19,0.99,546,0.001813186813186813
2017-04-20,0,555,0
2017-04-21,6.970000000000001,594,0.011734006734006736
