Join_date,count(*)
"
",1
2017-01-01,65
2017-01-02,48
2017-01-03,50
2017-01-04,69
2017-01-05,96
2017-01-06,65
2017-01-07,111
2017-01-08,119
2017-01-09,53
2017-01-10,87
2017-01-11,49
2017-01-12,74
2017-01-13,75
2017-01-14,77
2017-01-15,78
2017-01-16,53
2017-01-17,72
2017-01-18,62
2017-01-19,62
2017-01-20,78
2017-01-21,88
2017-01-22,117
2017-01-23,51
2017-01-24,63
2017-01-25,75
2017-01-26,57
2017-01-27,97
2017-01-28,116
2017-01-29,69
2017-01-30,55
2017-01-31,48
2017-02-01,46
2017-02-02,70
2017-02-03,84
2017-02-04,96
2017-02-05,100
2017-02-06,62
2017-02-07,90
2017-02-08,72
2017-02-09,100
2017-02-10,94
2017-02-11,96
2017-02-12,78
2017-02-13,57
2017-02-14,71
2017-02-15,68
2017-02-16,71
2017-02-17,107
2017-02-18,92
2017-02-19,80
2017-02-20,234
2017-02-21,140
2017-02-22,152
2017-02-23,238
2017-02-24,205
2017-02-25,314
2017-02-26,193
2017-02-27,235
2017-02-28,240
2017-03-01,223
2017-03-02,282
2017-03-03,256
2017-03-04,384
2017-03-05,246
2017-03-06,198
2017-03-07,194
2017-03-08,163
2017-03-09,257
2017-03-10,171
2017-03-11,338
2017-03-12,238
2017-03-13,189
2017-03-14,231
2017-03-15,172
2017-03-16,177
2017-03-17,233
2017-03-18,211
2017-03-19,224
2017-03-20,126
2017-03-21,154
2017-03-22,79
2017-03-23,52
2017-03-24,80
2017-03-25,85
2017-03-26,108
2017-03-27,43
2017-03-28,68
2017-03-29,66
2017-03-30,82
2017-03-31,58
2017-04-01,88
2017-04-02,65
2017-04-03,43
2017-04-04,62
2017-04-05,77
2017-04-06,89
2017-04-07,89
2017-04-08,65
2017-04-09,90
2017-04-10,60
2017-04-11,64
2017-04-12,83
2017-04-13,78
2017-04-14,81
2017-04-15,121
2017-04-16,96
2017-04-17,71
2017-04-18,55
2017-04-19,73
2017-04-20,65
2017-04-21,110
2017-04-22,118
2017-04-23,111
2017-04-24,48
2017-04-25,88
2017-04-26,67
2017-04-27,50
2017-04-28,73
2017-04-29,71
2017-04-30,104
2017-05-01,71
2017-05-02,61
2017-05-03,67
2017-05-04,61
2017-05-05,74
2017-05-06,66
2017-05-07,94
2017-05-08,55
2017-05-09,79
2017-05-10,57
2017-05-11,70
2017-05-12,101
2017-05-13,95
2017-05-14,99
2017-05-15,72
2017-05-16,90
2017-05-17,81
2017-05-18,78
2017-05-19,62
2017-05-20,84
2017-05-21,107
2017-05-22,76
2017-05-23,90
2017-05-24,80
2017-05-25,52
2017-05-26,71
2017-05-27,72
2017-05-28,116
2017-05-29,71
2017-05-30,89
2017-05-31,83
2017-06-01,65
2017-06-02,71
2017-06-03,112
2017-06-04,81
2017-06-05,43
2017-06-06,69
2017-06-07,89
2017-06-08,70
2017-06-09,96
2017-06-10,80
2017-06-11,60
2017-06-12,79
2017-06-13,45
2017-06-14,79
2017-06-15,76
2017-06-16,58
2017-06-17,88
2017-06-18,118
2017-06-19,54
2017-06-20,65
2017-06-21,49
2017-06-22,91
2017-06-23,108
2017-06-24,123
2017-06-25,69
2017-06-26,41
2017-06-27,78
2017-06-28,66
2017-06-29,61
2017-06-30,108
2017-07-01,86
2017-07-02,89
2017-07-03,40
2017-07-04,81
2017-07-05,46
2017-07-06,67
2017-07-07,101
2017-07-08,69
2017-07-09,74
2017-07-10,55
2017-07-11,57
2017-07-12,77
2017-07-13,58
2017-07-14,85
2017-07-15,116
2017-07-16,94
2017-07-17,51
2017-07-18,90
2017-07-19,70
2017-07-20,84
2017-07-21,75
2017-07-22,73
2017-07-23,87
2017-07-24,44
2017-07-25,65
2017-07-26,70
2017-07-27,95
2017-07-28,70
2017-07-29,113
2017-07-30,64
2017-07-31,57
2017-08-01,64
2017-08-02,59
2017-08-03,90
2017-08-04,72
2017-08-05,66
2017-08-06,75
2017-08-07,46
2017-08-08,74
2017-08-09,86
2017-08-10,68
2017-08-11,81
2017-08-12,84
2017-08-13,111
2017-08-14,66
2017-08-15,73
2017-08-16,81
2017-08-17,90
2017-08-18,102
2017-08-19,117
2017-08-20,82
2017-08-21,54
2017-08-22,62
2017-08-23,78
2017-08-24,76
2017-08-25,71
2017-08-26,65
2017-08-27,105
2017-08-28,55
2017-08-29,80
2017-08-30,71
2017-08-31,85
2017-09-01,102
2017-09-02,97
2017-09-03,93
2017-09-04,55
2017-09-05,69
2017-09-06,82
2017-09-07,53
2017-09-08,91
2017-09-09,83
2017-09-10,62
2017-09-11,50
2017-09-12,62
2017-09-13,55
2017-09-14,69
2017-09-15,59
2017-09-16,75
2017-09-17,94
2017-09-18,40
2017-09-19,81
2017-09-20,55
2017-09-21,72
2017-09-22,61
2017-09-23,90
2017-09-24,81
2017-09-25,46
2017-09-26,62
2017-09-27,63
2017-09-28,70
2017-09-29,103
2017-09-30,70
2017-10-01,84
2017-10-02,72
2017-10-03,54
2017-10-04,73
2017-10-05,89
2017-10-06,76
2017-10-07,77
2017-10-08,92
2017-10-09,64
2017-10-10,82
2017-10-11,50
2017-10-12,56
2017-10-13,56
2017-10-14,95
2017-10-15,98
2017-10-16,80
2017-10-17,89
2017-10-18,85
2017-10-19,85
2017-10-20,104
2017-10-21,78
2017-10-22,65
2017-10-23,47
2017-10-24,86
2017-10-25,82
2017-10-26,73
2017-10-27,80
2017-10-28,92
2017-10-29,108
2017-10-30,70
2017-10-31,81
2017-11-01,62
2017-11-02,66
2017-11-03,78
2017-11-04,125
2017-11-05,73
2017-11-06,51
2017-11-07,59
2017-11-08,72
2017-11-09,97
2017-11-10,65
2017-11-11,105
2017-11-12,106
2017-11-13,72
2017-11-14,87
2017-11-15,69
2017-11-16,93
2017-11-17,74
2017-11-18,109
2017-11-19,81
2017-11-20,45
2017-11-21,63
2017-11-22,86
2017-11-23,91
2017-11-24,107
2017-11-25,84
2017-11-26,94
2017-11-27,47
2017-11-28,85
2017-11-29,48
2017-11-30,75
2017-12-01,101
2017-12-02,85
2017-12-03,61
2017-12-04,64
2017-12-05,61
2017-12-06,48
2017-12-07,72
2017-12-08,60
2017-12-09,80
2017-12-10,70
2017-12-11,79
2017-12-12,86
2017-12-13,65
2017-12-14,95
2017-12-15,98
2017-12-16,112
2017-12-17,65
2017-12-18,43
2017-12-19,50
2017-12-20,76
2017-12-21,74
2017-12-22,68
2017-12-23,105
2017-12-24,106
2017-12-25,52
2017-12-26,63
2017-12-27,51
2017-12-28,94
2017-12-29,55
2017-12-30,117
2017-12-31,86
date,1
